,Country,Year,Value,Resource,Metric,Price,Price_Production
48,South Sudan,1965,0,Oil,Production,,
49,Sudan,1965,0,Oil,Production,,
50,Tunisia,1965,0,Oil,Production,,
51,Other Africa,1965,2.139013698630137,Oil,Production,,
52,Total Africa,1965,2232.3025205479453,Oil,Production,,
53,Australia,1965,7,Oil,Production,,
54,Brunei,1965,79.99999999999999,Oil,Production,,
55,China,1965,227.12958904109595,Oil,Production,,
56,India,1965,62.34427397260275,Oil,Production,,
57,Indonesia,1965,486.00000000000006,Oil,Production,,
58,Malaysia,1965,1,Oil,Production,,
59,Thailand,1965,0,Oil,Production,,
60,Vietnam,1965,0,Oil,Production,,
61,Other Asia Pacific,1965,35.11397260273972,Oil,Production,,
62,Total Asia Pacific,1965,898.5878356164385,Oil,Production,,
63,Total World,1965,31791.906986301376,Oil,Production,,
64,of which: OECD,1965,11018.182082191785,Oil,Production,,
65,                 Non-OECD,1965,20773.724904109597,Oil,Production,,
66,                 OPEC,1965,13687.35569863014,Oil,Production,,
67,                 Non-OPEC ,1965,18104.551287671227,Oil,Production,,
68,                 European Union #,1965,697.0976438356162,Oil,Production,,
69,Canada,1966,1012,Oil,Production,,
70,Mexico,1966,370,Oil,Production,,
71,US,1966,9579.241,Oil,Production,,
72,Total North America,1966,10961.241,Oil,Production,,
73,Argentina,1966,292.8641095890411,Oil,Production,,
74,Brazil,1966,117.05,Oil,Production,,
75,Colombia,1966,199,Oil,Production,,
76,Ecuador,1966,7,Oil,Production,,
77,Guyana,1966,0,Oil,Production,,
78,Peru,1966,66,Oil,Production,,
79,Trinidad & Tobago,1966,153,Oil,Production,,
80,Venezuela,1966,3402,Oil,Production,,
81,Other S. & Cent. America,1966,54.41109589041096,Oil,Production,,
82,Total S. & Cent. America,1966,4291.325205479452,Oil,Production,,
83,Denmark,1966,0,Oil,Production,,
84,Italy,1966,39.07699178082191,Oil,Production,,
85,Norway,1966,0,Oil,Production,,
86,Romania,1966,271.00205479452063,Oil,Production,,
87,United Kingdom,1966,1.6155616438356164,Oil,Production,,
88,Other Europe,1966,486.67797260273977,Oil,Production,,
89,Total Europe,1966,798.3725808,Oil,Production,,
90,Azerbaijan,1966,0,Oil,Production,,
91,Kazakhstan,1966,0,Oil,Production,,
92,Russian Federation,1966,0,Oil,Production,,
93,Turkmenistan,1966,0,Oil,Production,,
94,Uzbekistan,1966,0,Oil,Production,,
95,Other CIS,1966,0,Oil,Production,,
96,Total CIS,1966,5302,Oil,Production,,
97,Iran,1966,2132,Oil,Production,,
98,Iraq,1966,1392.0000000000002,Oil,Production,,
99,Kuwait,1966,2505,Oil,Production,,
100,Oman,1966,0,Oil,Production,,
101,Qatar,1966,290.99999999999994,Oil,Production,,
102,Saudi Arabia,1966,2617.8000000000006,Oil,Production,,
103,Syria,1966,0,Oil,Production,,
104,United Arab Emirates,1966,360,Oil,Production,,
105,Yemen,1966,0,Oil,Production,,
106,Other Middle East,1966,65.76109589041097,Oil,Production,,
107,Total Middle East,1966,9363.561095890413,Oil,Production,,
108,Algeria,1966,733.5931506849315,Oil,Production,,
109,Angola,1966,12.810164383561643,Oil,Production,,
110,Chad,1966,0,Oil,Production,,
111,Republic of Congo ,1966,1.2026301369863015,Oil,Production,,
112,Egypt,1966,121.7115068493151,Oil,Production,,
113,Equatorial Guinea,1966,0,Oil,Production,,
114,Gabon,1966,28.979643835616443,Oil,Production,,
115,Libya,1966,1508.0000000000002,Oil,Production,,
116,Nigeria,1966,417.6,Oil,Production,,
117,South Sudan,1966,0,Oil,Production,,
118,Sudan,1966,0,Oil,Production,,
119,Tunisia,1966,16.243808219178085,Oil,Production,,
120,Other Africa,1966,2.139013698630137,Oil,Production,,
121,Total Africa,1966,2842.279918,Oil,Production,,
122,Australia,1966,9,Oil,Production,,
123,Brunei,1966,96,Oil,Production,,
124,China,1966,292.1958904109589,Oil,Production,,
125,India,1966,95.86824657534248,Oil,Production,,
126,Indonesia,1966,474.00000000000006,Oil,Production,,
127,Malaysia,1966,1,Oil,Production,,
128,Thailand,1966,0,Oil,Production,,
129,Vietnam,1966,0,Oil,Production,,
130,Other Asia Pacific,1966,34.08547945205479,Oil,Production,,
131,Total Asia Pacific,1966,1002.1496164383562,Oil,Production,,
132,Total World,1966,34560.92941643836,Oil,Production,,
133,of which: OECD,1966,11677.425663013695,Oil,Production,,
134,                 Non-OECD,1966,22883.503753424666,Oil,Production,,
135,                 OPEC,1966,15098.175424657536,Oil,Production,,
136,                 Non-OPEC ,1966,19462.753991780824,Oil,Production,,
137,                 European Union #,1966,695.6394027397262,Oil,Production,,
138,Canada,1967,1106,Oil,Production,,
139,Mexico,1967,411,Oil,Production,,
140,US,1967,10219.252,Oil,Production,,
141,Total North America,1967,11736.252,Oil,Production,,
142,Argentina,1967,318.6312328767123,Oil,Production,,
143,Brazil,1967,147.05,Oil,Production,,
144,Colombia,1967,192,Oil,Production,,
145,Ecuador,1967,6.000000000000001,Oil,Production,,
146,Guyana,1967,0,Oil,Production,,
147,Peru,1967,74,Oil,Production,,
148,Trinidad & Tobago,1967,179,Oil,Production,,
149,Venezuela,1967,3576,Oil,Production,,
150,Other S. & Cent. America,1967,78.21424657534249,Oil,Production,,
151,Total S. & Cent. America,1967,4570.895479452055,Oil,Production,,
152,Denmark,1967,0,Oil,Production,,
153,Italy,1967,36.55973698630137,Oil,Production,,
154,Norway,1967,0,Oil,Production,,
155,Romania,1967,278.84126027397264,Oil,Production,,
156,United Kingdom,1967,1.8433972602739723,Oil,Production,,
157,Other Europe,1967,506.9918356164384,Oil,Production,,
158,Total Europe,1967,824.2362301369864,Oil,Production,,
159,Azerbaijan,1967,0,Oil,Production,,
160,Kazakhstan,1967,0,Oil,Production,,
161,Russian Federation,1967,0,Oil,Production,,
162,Turkmenistan,1967,0,Oil,Production,,
163,Uzbekistan,1967,0,Oil,Production,,
164,Other CIS,1967,0,Oil,Production,,
165,Total CIS,1967,5762,Oil,Production,,
166,Iran,1967,2603,Oil,Production,,
167,Iraq,1967,1227.9999999999998,Oil,Production,,
168,Kuwait,1967,2522,Oil,Production,,
169,Oman,1967,56.99999999999999,Oil,Production,,
170,Qatar,1967,324,Oil,Production,,
171,Saudi Arabia,1967,2824.9999999999995,Oil,Production,,
172,Syria,1967,0,Oil,Production,,
173,United Arab Emirates,1967,382.1,Oil,Production,,
174,Yemen,1967,0,Oil,Production,,
175,Other Middle East,1967,72.97753424657535,Oil,Production,,
176,Total Middle East,1967,10014.077534246577,Oil,Production,,
177,Algeria,1967,842.6643835616438,Oil,Production,,
178,Angola,1967,10.901835616438358,Oil,Production,,
179,Chad,1967,0,Oil,Production,,
180,Republic of Congo ,1967,0.9698630136986304,Oil,Production,,
181,Egypt,1967,108.5619178082192,Oil,Production,,
182,Equatorial Guinea,1967,0,Oil,Production,,
183,Gabon,1967,68.99438356164384,Oil,Production,,
184,Libya,1967,1733.0000000000002,Oil,Production,,
185,Nigeria,1967,319.1,Oil,Production,,
186,South Sudan,1967,0,Oil,Production,,
187,Sudan,1967,0,Oil,Production,,
188,Tunisia,1967,47.21449315068493,Oil,Production,,
189,Other Africa,1967,2.0559452054794525,Oil,Production,,
190,Total Africa,1967,3133.462821917808,Oil,Production,,
191,Australia,1967,21.000000000000004,Oil,Production,,
192,Brunei,1967,104,Oil,Production,,
193,China,1967,278.74082191780826,Oil,Production,,
194,India,1967,116.91098630136987,Oil,Production,,
195,Indonesia,1967,510,Oil,Production,,
196,Malaysia,1967,1,Oil,Production,,
197,Thailand,1967,0,Oil,Production,,
198,Vietnam,1967,0,Oil,Production,,
199,Other Asia Pacific,1967,31.085479452054795,Oil,Production,,
200,Total Asia Pacific,1967,1062.7372876712332,Oil,Production,,
201,Total World,1967,37103.66135342465,Oil,Production,,
202,of which: OECD,1967,12464.86255890411,Oil,Production,,
203,                 Non-OECD,1967,24638.798794520542,Oil,Production,,
204,                 OPEC,1967,16100.828630136988,Oil,Production,,
205,                 Non-OPEC ,1967,21002.83272328767,Oil,Production,,
206,                 European Union #,1967,702.7129424657535,Oil,Production,,
207,Canada,1968,1194,Oil,Production,,
208,Mexico,1968,439,Oil,Production,,
209,US,1968,10599.743,Oil,Production,,
210,Total North America,1968,12232.743,Oil,Production,,
211,Argentina,1968,348.1584699453552,Oil,Production,,
212,Brazil,1968,161.04999999999998,Oil,Production,,
213,Colombia,1968,176.00000000000003,Oil,Production,,
214,Ecuador,1968,5,Oil,Production,,
215,Guyana,1968,0,Oil,Production,,
216,Peru,1968,77,Oil,Production,,
217,Trinidad & Tobago,1968,191,Oil,Production,,
218,Venezuela,1968,3639,Oil,Production,,
219,Other S. & Cent. America,1968,84.57131147540983,Oil,Production,,
220,Total S. & Cent. America,1968,4681.779781420765,Oil,Production,,
221,Denmark,1968,0,Oil,Production,,
222,Italy,1968,34.582825136612016,Oil,Production,,
223,Norway,1968,0,Oil,Production,,
224,Romania,1968,279.70040983606555,Oil,Production,,
225,United Kingdom,1968,1.735081967213115,Oil,Production,,
226,Other Europe,1968,517.6376775956285,Oil,Production,,
227,Total Europe,1968,833.6559945355192,Oil,Production,,
228,Azerbaijan,1968,0,Oil,Production,,
229,Kazakhstan,1968,0,Oil,Production,,
230,Russian Federation,1968,0,Oil,Production,,
231,Turkmenistan,1968,0,Oil,Production,,
232,Uzbekistan,1968,0,Oil,Production,,
233,Other CIS,1968,0,Oil,Production,,
234,Total CIS,1968,6167.103825136612,Oil,Production,,
235,Iran,1968,2839.9999999999995,Oil,Production,,
236,Iraq,1968,1503.0000000000002,Oil,Production,,
237,Kuwait,1968,2656,Oil,Production,,
238,Oman,1968,241,Oil,Production,,
239,Qatar,1968,339.99999999999994,Oil,Production,,
240,Saudi Arabia,1968,3080.900000000001,Oil,Production,,
241,Syria,1968,21,Oil,Production,,
242,United Arab Emirates,1968,496.6,Oil,Production,,
243,Yemen,1968,0,Oil,Production,,
244,Other Middle East,1968,77.96939890710384,Oil,Production,,
245,Total Middle East,1968,11256.469398907106,Oil,Production,,
246,Algeria,1968,922.4950819672132,Oil,Production,,
247,Angola,1968,15.184426229508198,Oil,Production,,
248,Chad,1968,0,Oil,Production,,
249,Republic of Congo ,1968,0.8318032786885248,Oil,Production,,
250,Egypt,1968,166.38442622950822,Oil,Production,,
251,Equatorial Guinea,1968,0,Oil,Production,,
252,Gabon,1968,92.69319672131148,Oil,Production,,
253,Libya,1968,2598.9999999999995,Oil,Production,,
254,Nigeria,1968,141.3,Oil,Production,,
255,South Sudan,1968,0,Oil,Production,,
256,Sudan,1968,0,Oil,Production,,
257,Tunisia,1968,67.04587431693989,Oil,Production,,
258,Other Africa,1968,1.843224043715847,Oil,Production,,
259,Total Africa,1968,4006.778032786885,Oil,Production,,
260,Australia,1968,39,Oil,Production,,
261,Brunei,1968,122,Oil,Production,,
262,China,1968,320.23688524590165,Oil,Production,,
263,India,1968,120.4182786885246,Oil,Production,,
264,Indonesia,1968,599,Oil,Production,,
265,Malaysia,1968,4,Oil,Production,,
266,Thailand,1968,0,Oil,Production,,
267,Vietnam,1968,0,Oil,Production,,
268,Other Asia Pacific,1968,35.1136612,Oil,Production,,
269,Total Asia Pacific,1968,1239.768825136612,Oil,Production,,
270,Total World,1968,40418.298857923495,Oil,Production,,
271,of which: OECD,1968,12971.331945355192,Oil,Production,,
272,                 Non-OECD,1968,27446.966912568303,Oil,Production,,
273,                 OPEC,1968,17971.820081967213,Oil,Production,,
274,                 Non-OPEC ,1968,22446.47877595628,Oil,Production,,
275,                 European Union #,1968,700.5332622950818,Oil,Production,,
276,Canada,1969,1306,Oil,Production,,
277,Mexico,1969,461,Oil,Production,,
278,US,1969,10827.674,Oil,Production,,
279,Total North America,1969,12594.674,Oil,Production,,
280,Argentina,1969,361.53205479452055,Oil,Production,,
281,Brazil,1969,176.05,Oil,Production,,
282,Colombia,1969,214,Oil,Production,,
283,Ecuador,1969,4.000000000000001,Oil,Production,,
284,Guyana,1969,0,Oil,Production,,
285,Peru,1969,74.99999999999999,Oil,Production,,
286,Trinidad & Tobago,1969,157,Oil,Production,,
287,Venezuela,1969,3631,Oil,Production,,
288,Other S. & Cent. America,1969,83.80465753424659,Oil,Production,,
289,Total S. & Cent. America,1969,4702.386712328767,Oil,Production,,
290,Denmark,1969,0,Oil,Production,,
291,Italy,1969,33.86123561643836,Oil,Production,,
292,Norway,1969,0,Oil,Production,,
293,Romania,1969,281.0889315068493,Oil,Production,,
294,United Kingdom,1969,1.792109589041096,Oil,Production,,
295,Other Europe,1969,530.0449589041094,Oil,Production,,
296,Total Europe,1969,846.7872356164381,Oil,Production,,
297,Azerbaijan,1969,0,Oil,Production,,
298,Kazakhstan,1969,0,Oil,Production,,
299,Russian Federation,1969,0,Oil,Production,,
300,Turkmenistan,1969,0,Oil,Production,,
301,Uzbekistan,1969,0,Oil,Production,,
302,Other CIS,1969,0,Oil,Production,,
303,Total CIS,1969,6566,Oil,Production,,
304,Iran,1969,3376,Oil,Production,,
305,Iraq,1969,1521,Oil,Production,,
306,Kuwait,1969,2819.0000000000005,Oil,Production,,
307,Oman,1969,327,Oil,Production,,
308,Qatar,1969,356,Oil,Production,,
309,Saudi Arabia,1969,3262.2,Oil,Production,,
310,Syria,1969,53.00000000000001,Oil,Production,,
311,United Arab Emirates,1969,627.8,Oil,Production,,
312,Yemen,1969,0,Oil,Production,,
313,Other Middle East,1969,77.95890410958906,Oil,Production,,
314,Total Middle East,1969,12419.95890410959,Oil,Production,,
315,Algeria,1969,969.3315068493152,Oil,Production,,
316,Angola,1969,49.90076712328768,Oil,Production,,
317,Chad,1969,0,Oil,Production,,
318,Republic of Congo ,1969,0.4655342465753425,Oil,Production,,
319,Egypt,1969,239.16301369863007,Oil,Production,,
320,Equatorial Guinea,1969,0,Oil,Production,,
321,Gabon,1969,100.67772602739728,Oil,Production,,
322,Libya,1969,3107.9999999999995,Oil,Production,,
323,Nigeria,1969,540.3,Oil,Production,,
324,South Sudan,1969,0,Oil,Production,,
325,Sudan,1969,0,Oil,Production,,
326,Tunisia,1969,78.10090410958905,Oil,Production,,
327,Other Africa,1969,1.2044931506849317,Oil,Production,,
328,Total Africa,1969,5087.143945205478,Oil,Production,,
329,Australia,1969,45,Oil,Production,,
330,Brunei,1969,124,Oil,Production,,
331,China,1969,436.58684931506855,Oil,Production,,
332,India,1969,138.69641095890412,Oil,Production,,
333,Indonesia,1969,641.9999999999999,Oil,Production,,
334,Malaysia,1969,9,Oil,Production,,
335,Thailand,1969,0,Oil,Production,,
336,Vietnam,1969,0,Oil,Production,,
337,Other Asia Pacific,1969,36.42739726027397,Oil,Production,,
338,Total Asia Pacific,1969,1431.7106575342466,Oil,Production,,
339,Total World,1969,43648.66145479452,Oil,Production,,
340,of which: OECD,1969,13383.780002739726,Oil,Production,,
341,                 Non-OECD,1969,30264.881452054797,Oil,Production,,
342,                 OPEC,1969,19955.774767123286,Oil,Production,,
343,                 Non-OPEC ,1969,23692.88668767123,Oil,Production,,
344,                 European Union #,1969,696.4227150684931,Oil,Production,,
345,Canada,1970,1473,Oil,Production,,
346,Mexico,1970,487,Oil,Production,,
347,US,1970,11296.849,Oil,Production,,
348,Total North America,1970,13256.849,Oil,Production,,
349,Argentina,1970,399.46465753424656,Oil,Production,,
350,Brazil,1970,166.68103068071915,Oil,Production,,
351,Colombia,1970,226,Oil,Production,,
352,Ecuador,1970,4.000000000000001,Oil,Production,,
353,Guyana,1970,0,Oil,Production,,
354,Peru,1970,74.97260273972603,Oil,Production,,
355,Trinidad & Tobago,1970,140,Oil,Production,,
356,Venezuela,1970,3754,Oil,Production,,
357,Other S. & Cent. America,1970,63.94671232876713,Oil,Production,,
358,Total S. & Cent. America,1970,4829.065003283459,Oil,Production,,
359,Denmark,1970,0,Oil,Production,,
360,Italy,1970,31.89930136986301,Oil,Production,,
361,Norway,1970,0,Oil,Production,,
362,Romania,1970,283.7843014,Oil,Production,,
363,United Kingdom,1970,3.5191232876712326,Oil,Production,,
364,Other Europe,1970,528.2369589041095,Oil,Production,,
365,Total Europe,1970,847.4396849,Oil,Production,,
366,Azerbaijan,1970,0,Oil,Production,,
367,Kazakhstan,1970,0,Oil,Production,,
368,Russian Federation,1970,0,Oil,Production,,
369,Turkmenistan,1970,0,Oil,Production,,
370,Uzbekistan,1970,0,Oil,Production,,
371,Other CIS,1970,0,Oil,Production,,
372,Total CIS,1970,7126.746301369863,Oil,Production,,
373,Iran,1970,3847.659726027397,Oil,Production,,
374,Iraq,1970,1549,Oil,Production,,
375,Kuwait,1970,3036,Oil,Production,,
376,Oman,1970,332,Oil,Production,,
377,Qatar,1970,363,Oil,Production,,
378,Saudi Arabia,1970,3851.1,Oil,Production,,
379,Syria,1970,85,Oil,Production,,
380,United Arab Emirates,1970,779.6,Oil,Production,,
381,Yemen,1970,0,Oil,Production,,
382,Other Middle East,1970,78.53773973,Oil,Production,,
383,Total Middle East,1970,13921.897465753424,Oil,Production,,
384,Algeria,1970,1053.9268493150682,Oil,Production,,
385,Angola,1970,102.8264383561644,Oil,Production,,
386,Chad,1970,0,Oil,Production,,
387,Republic of Congo ,1970,0.3685479452054794,Oil,Production,,
388,Egypt,1970,319.09150684931507,Oil,Production,,
389,Equatorial Guinea,1970,0,Oil,Production,,
390,Gabon,1970,108.60857534246576,Oil,Production,,
391,Libya,1970,3357,Oil,Production,,
392,Nigeria,1970,1083.1,Oil,Production,,
393,South Sudan,1970,0,Oil,Production,,
394,Sudan,1970,0,Oil,Production,,
395,Tunisia,1970,87.45531506849315,Oil,Production,,
396,Other Africa,1970,0.9137534246575342,Oil,Production,,
397,Total Africa,1970,6113.290986,Oil,Production,,
398,Australia,1970,175.99999999999997,Oil,Production,,
399,Brunei,1970,136.00000000000003,Oil,Production,,
400,China,1970,615.5191780821917,Oil,Production,,
401,India,1970,140.47060273972605,Oil,Production,,
402,Indonesia,1970,854.0000000000001,Oil,Production,,
403,Malaysia,1970,18,Oil,Production,,
404,Thailand,1970,0,Oil,Production,,
405,Vietnam,1970,0,Oil,Production,,
406,Other Asia Pacific,1970,39.505315068493154,Oil,Production,,
407,Total Asia Pacific,1970,1979.495095890411,Oil,Production,,
408,Total World,1970,48074.78353753004,Oil,Production,,
409,of which: OECD,1970,14177.93686,Oil,Production,,
410,                 Non-OECD,1970,33896.84667451633,Oil,Production,,
411,                 OPEC,1970,22420.36369863013,Oil,Production,,
412,                 Non-OPEC ,1970,25654.419838899903,Oil,Production,,
413,                 European Union #,1970,689.9916301369864,Oil,Production,,
414,Canada,1971,1582,Oil,Production,,
415,Mexico,1971,486,Oil,Production,,
416,US,1971,11155.778,Oil,Production,,
417,Total North America,1971,13223.778,Oil,Production,,
418,Argentina,1971,431.53808219178086,Oil,Production,,
419,Brazil,1971,174.84500140635296,Oil,Production,,
420,Colombia,1971,224,Oil,Production,,
421,Ecuador,1971,4.000000000000001,Oil,Production,,
422,Guyana,1971,0,Oil,Production,,
423,Peru,1971,63.88219178082192,Oil,Production,,
424,Trinidad & Tobago,1971,129,Oil,Production,,
425,Venezuela,1971,3615,Oil,Production,,
426,Other S. & Cent. America,1971,80.38465753424657,Oil,Production,,
427,Total S. & Cent. America,1971,4722.649932913202,Oil,Production,,
428,Denmark,1971,0,Oil,Production,,
429,Italy,1971,28.538024657534244,Oil,Production,,
430,Norway,1971,6,Oil,Production,,
431,Romania,1971,292.34364383561643,Oil,Production,,
432,United Kingdom,1971,4.899945205479452,Oil,Production,,
433,Other Europe,1971,509.3117260273973,Oil,Production,,
434,Total Europe,1971,841.0933397260274,Oil,Production,,
435,Azerbaijan,1971,0,Oil,Production,,
436,Kazakhstan,1971,0,Oil,Production,,
437,Russian Federation,1971,0,Oil,Production,,
438,Turkmenistan,1971,0,Oil,Production,,
439,Uzbekistan,1971,0,Oil,Production,,
440,Other CIS,1971,0,Oil,Production,,
441,Total CIS,1971,7610.459178082193,Oil,Production,,
442,Iran,1971,4572.421917808219,Oil,Production,,
443,Iraq,1971,1694.0000000000002,Oil,Production,,
444,Kuwait,1971,3253.0000000000005,Oil,Production,,
445,Oman,1971,294,Oil,Production,,
446,Qatar,1971,430,Oil,Production,,
447,Saudi Arabia,1971,4820.9,Oil,Production,,
448,Syria,1971,106,Oil,Production,,
449,United Arab Emirates,1971,1059.5000000000002,Oil,Production,,
450,Yemen,1971,0,Oil,Production,,
451,Other Middle East,1971,76.20080821917809,Oil,Production,,
452,Total Middle East,1971,16306.02273,Oil,Production,,
453,Algeria,1971,802.5873972602742,Oil,Production,,
454,Angola,1971,116.1441369863014,Oil,Production,,
455,Chad,1971,0,Oil,Production,,
456,Republic of Congo ,1971,0.2715616438356164,Oil,Production,,
457,Egypt,1971,290.84712328767125,Oil,Production,,
458,Equatorial Guinea,1971,0,Oil,Production,,
459,Gabon,1971,116.05876712328768,Oil,Production,,
460,Libya,1971,2750.0000000000005,Oil,Production,,
461,Nigeria,1971,1531.1999999999996,Oil,Production,,
462,South Sudan,1971,0,Oil,Production,,
463,Sudan,1971,0,Oil,Production,,
464,Tunisia,1971,86.57043835616439,Oil,Production,,
465,Other Africa,1971,0.4776438356164383,Oil,Production,,
466,Total Africa,1971,5694.157068493151,Oil,Production,,
467,Australia,1971,315,Oil,Production,,
468,Brunei,1971,129.00000000000003,Oil,Production,,
469,China,1971,791.4391780821919,Oil,Production,,
470,India,1971,148.22753424657537,Oil,Production,,
471,Indonesia,1971,892,Oil,Production,,
472,Malaysia,1971,69,Oil,Production,,
473,Thailand,1971,0,Oil,Production,,
474,Vietnam,1971,0,Oil,Production,,
475,Other Asia Pacific,1971,42.41753424657535,Oil,Production,,
476,Total Asia Pacific,1971,2387.0842465753426,Oil,Production,,
477,Total World,1971,50785.24449181731,Oil,Production,,
478,of which: OECD,1971,14268.742997260271,Oil,Production,,
479,                 Non-OECD,1971,36516.50149455704,Oil,Production,,
480,                 OPEC,1971,24214.93964383562,Oil,Production,,
481,                 Non-OPEC ,1971,26570.304847981704,Oil,Production,,
482,                 European Union #,1971,671.7922712328767,Oil,Production,,
483,Canada,1972,1829,Oil,Production,,
484,Mexico,1972,506,Oil,Production,,
485,US,1972,11184.896,Oil,Production,,
486,Total North America,1972,13519.896,Oil,Production,,
487,Argentina,1972,444.1158469945355,Oil,Production,,
488,Brazil,1972,171.18629060820848,Oil,Production,,
489,Colombia,1972,203,Oil,Production,,
490,Ecuador,1972,78,Oil,Production,,
491,Guyana,1972,0,Oil,Production,,
492,Peru,1972,66.60109289617486,Oil,Production,,
493,Trinidad & Tobago,1972,141,Oil,Production,,
494,Venezuela,1972,3301.0000000000005,Oil,Production,,
495,Other S. & Cent. America,1972,89.23715846994536,Oil,Production,,
496,Total S. & Cent. America,1972,4494.1403889688645,Oil,Production,,
497,Denmark,1972,2.0000000000000004,Oil,Production,,
498,Italy,1972,25.47182513661202,Oil,Production,,
499,Norway,1972,33,Oil,Production,,
500,Romania,1972,298.41879781420766,Oil,Production,,
501,United Kingdom,1972,7.861967213114754,Oil,Production,,
502,Other Europe,1972,504.3140163934426,Oil,Production,,
503,Total Europe,1972,871.0666066,Oil,Production,,
504,Azerbaijan,1972,0,Oil,Production,,
505,Kazakhstan,1972,0,Oil,Production,,
506,Russian Federation,1972,0,Oil,Production,,
507,Turkmenistan,1972,0,Oil,Production,,
508,Uzbekistan,1972,0,Oil,Production,,
509,Other CIS,1972,0,Oil,Production,,
510,Total CIS,1972,8064.128415300546,Oil,Production,,
511,Iran,1972,5058.957377049181,Oil,Production,,
512,Iraq,1972,1466,Oil,Production,,
513,Kuwait,1972,3339,Oil,Production,,
514,Oman,1972,282,Oil,Production,,
515,Qatar,1972,482,Oil,Production,,
516,Saudi Arabia,1972,6070.300000000001,Oil,Production,,
517,Syria,1972,117,Oil,Production,,
518,United Arab Emirates,1972,1202.7,Oil,Production,,
519,Yemen,1972,0,Oil,Production,,
520,Other Middle East,1972,70.92989071038251,Oil,Production,,
521,Total Middle East,1972,18088.887267759565,Oil,Production,,
522,Algeria,1972,1081.0491803278687,Oil,Production,,
523,Angola,1972,142.87532786885248,Oil,Production,,
524,Chad,1972,0,Oil,Production,,
525,Republic of Congo ,1972,6.499672131147541,Oil,Production,,
526,Egypt,1972,207.9562841530055,Oil,Production,,
527,Equatorial Guinea,1972,0,Oil,Production,,
528,Gabon,1972,125.8877868852459,Oil,Production,,
529,Libya,1972,2247.9999999999995,Oil,Production,,
530,Nigeria,1972,1815.7000000000005,Oil,Production,,
531,South Sudan,1972,0,Oil,Production,,
532,Sudan,1972,0,Oil,Production,,
533,Tunisia,1972,83.56046448087432,Oil,Production,,
534,Other Africa,1972,0.5798907103825137,Oil,Production,,
535,Total Africa,1972,5712.108606557377,Oil,Production,,
536,Australia,1972,337,Oil,Production,,
537,Brunei,1972,182.00000000000003,Oil,Production,,
538,China,1972,914.6478142076502,Oil,Production,,
539,India,1972,151.6904098360656,Oil,Production,,
540,Indonesia,1972,1080.9999999999998,Oil,Production,,
541,Malaysia,1972,93,Oil,Production,,
542,Thailand,1972,0,Oil,Production,,
543,Vietnam,1972,0,Oil,Production,,
544,Other Asia Pacific,1972,44.29967213114753,Oil,Production,,
545,Total Asia Pacific,1972,2803.6378961748637,Oil,Production,,
546,Total World,1972,53553.86518131859,Oil,Production,,
547,of which: OECD,1972,14580.01643169399,Oil,Production,,
